PSALM|1|1|1|1|Lord|how|are|they|increased|that|trouble|me!|many|are|they|that|rise|up|against|me.
ALMA|2|2|2|2|Now|this|Amlici|had|by|his|cunningdrawn|away|much|people|after|him;|even|so|much|that|they|began|to|be|very|powerful;|and|they|began|to|endeavor|to|establish|Amlici|to|be|a|king|over|the|people.
JACOB|4|10|10|10|Wherefore|brethren|seek|not|to|counsel|the|Lord|but|to|take|counsel|from|his|hand.|For|behold|ye|yourselves|know|that|he|counseleth|in|wisdom|and|in|justice|and|in|great|mercy|over|all|his|works.
OMNI|1|8|9|67|And|it|came|to|pass|that|I|did|deliver|the|plates|unto|my|brother|Chemish.|Now|I,|Chemish,|write|what|few|things|I|write,|in|the|same|book|with|my|brother;|for|behold,|I|saw|the|last|which|he|wrote,|that|he|wrote|it|with|his|own|hand;|and|he|wrote|it|in|the|day|that|he|delivered|them|unto|me.|And|after|this|manner|we|keep|the|records,|for|it|is|according|to|the|commandments|of|our|fathers.|And|I|make|an|end.
